seller_id,revenue,orders,avg_review,late_rate
53243585a1d6dc2643021fd1853d8905,258882.28,358,4.052631578947368,0.036613272311212815
4869f7a5dfa277a7dca6462dcf3b52b2,258625.52,1132,4.079258010118044,0.11888701517706576
7c67e1448b00f6e969d365cea6b010ab,254387.7,982,3.373889268626111,0.08885850991114148
4a3ca9315b744ce9f8e9374361493884,253535.64,1806,3.754060324825986,0.10023201856148492
fa1c13f2614d7b5c4749cbc52fecda94,214454.82,585,4.315270935960591,0.09688013136288999
da8622b14eb17ae2831f4ac5b9dab84a,198621.24,1314,4.056558363417569,0.06738868832731648
7e93a43ef30c4f03f38b393420bc753a,189475.9,336,4.198863636363637,0.05113636363636364
1025f0e2d44d7041d6cf58b6550e0bfa,178696.05,915,3.8307379823967502,0.07853757616790792
7a67c85e85bb2ce8582c35f2203ad736,172887.23,1160,4.195983935742972,0.05140562248995984
955fee9216a65b617aa5c0531780ce60,163275.71,1287,4.020261437908497,0.06928104575163399
